_ - id,_ - url,_ - rank,_ - city,_ - ifmid,_ - ifiid,_ - growth,_ - workers,_ - company,_ - website,_ - state_l,_ - state_s,_ - revenue,_ - zipcode,_ - founded,_ - industry,_ - latitude,_ - metrocode,_ - longitude,_ - yrs_on_list,_ - previous_workers,_ - metro,_ - partner_lists - partner_lists
88570,eagle-business-credit,2536,Kennesaw,29,2,168.6117,10,Eagle Business Credit,eaglebusinesscredit.com,Georgia,GA,2568371,30144,2013,Financial Services,34.03686,"Atlanta-Sandy Springs-Roswell, GA",-84.59101,1,4,Atlanta,
23063,vincentbenjamin,2537,Phoenix,46,21,168.4474,326,VincentBenjamin,vincentbenjamin.com,Arizona,AZ,39953373,85016,2008,Human Resources,33.51152,"Phoenix-Mesa-Scottsdale, AZ",-112.01917,6,187,Phoenix,
38011,slm-holdings,2538,Chandler,46,17,168.3824,435,SLM Holdings,landscapeinc.us,Arizona,AZ,32850000,85225,1998,Business Products & Services,33.31745,"Phoenix-Mesa-Scottsdale, AZ",-111.83049,4,180,Phoenix,
20146,evans,2539,Falls Church,3,7,168.2623,61,Evans,evansincorporated.com,Virginia,VA,14310816,22042,1994,Government Services,38.86502,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.19712,5,28,"Washington, DC",
88571,realjoy-vacations,2540,Destin,180,3,168.1215,43,RealJoy Vacations,realjoy.com,Florida,FL,7616271,32541,2009,Real Estate,30.39277,"Fort Walton Beach-Crestview-Destin, FL",-86.46951,1,16,,
88572,pure-solutions,2541,Weston,6,4,168.0928,31,Pure Solutions,puresolutions.com,Massachusetts,MA,2262119,2493,2009,Consumer Products & Services,42.3605,"Boston-Cambridge-Newton, MA-NH",-71.30343,1,12,Boston,
43900,united-states-appraisals,2542,Overland Park,21,3,168.0806,64,United States Appraisals,unitedstatesappraisals.com,Kansas,KS,47043771,66210,2008,Real Estate,38.92214,"Kansas City, MO-KS",-94.70478,3,30,"Kansas City, MO-KS",
23043,sovereign-lending-group,2543,Costa Mesa,2,2,168.023,89,Sovereign Lending Group,slgmortgage.com,California,CA,18716157,92626,2005,Financial Services,33.67959,"Los Angeles-Long Beach-Anaheim, CA",-117.90853,6,44,Los Angeles,
88573,automotive-avenues,2544,Wall,9,18,168.0124,52,Automotive Avenues,automotiveavenuesnj.com,New Jersey,NJ,57153785,7727,2010,Retail,40.2044,"New York-Newark-Jersey City, NY-NJ-PA",-74.14923,1,12,New York City,
72886,2a-consulting,2545,Seattle,23,5,167.9943,29,2A Consulting,2adaptive.com,Washington,WA,4612439,98122,2010,Advertising & Marketing,47.61105,"Seattle-Tacoma-Bellevue, WA",-122.29321,2,12,Seattle,
