_ - rank,Profile,name,url,state,_ - revenue,_ - growth,_ - industry,_ - workers,_ - founded,_ - yrs_on_list,_ - previous_workers,_ - metro,city
3780,https://www.inc.com/profile/banyan-technology,Banyan Technology,banyantechnology.com,OH,4300000,88.8594,Logistics & Transportation,55,2001,2,25,Cleveland,Westlake
3929,https://www.inc.com/profile/vanguard-claims-administration,Vanguard Claims Administration,vanguardclaims.com,NJ,4300000,83.9419,Insurance,80,1997,1,25,Philadelphia,Woodbury
3942,https://www.inc.com/profile/envision,Envision,envisiontees.com,IA,4300000,83.2591,Consumer Products & Services,35,2005,2,15,,Dubuque
3994,https://www.inc.com/profile/boost-payment-solutions,Boost Payment Solutions,boostb2b.com,NY,4300000,81.3032,Financial Services,32,2009,1,12,New York City,New York
4421,https://www.inc.com/profile/groggy-dog-sportswear-graphic-design,Groggy Dog Sportswear & Graphic Design,groggydogonline.com,TX,4300000,67.4283,Business Products & Services,40,2000,1,28,Dallas,Denton
4701,https://www.inc.com/profile/any-lab-test-now,Any Lab Test Now,anylabtestnow.com,GA,4300000,60.3868,Health,36,2007,2,21,Atlanta,Woodstock
4833,https://www.inc.com/profile/meridian-star-pos,Meridian Star POS,mstarpos.com,FL,4300000,57.1161,Software,19,2011,2,8,Miami,Oakland Park
151,https://www.inc.com/profile/waggl,Waggl,waggl.com,CA,4400000,2482.3452,Software,55,2014,1,6,San Francisco,Sausalito
153,https://www.inc.com/profile/akumina,Akumina,akumina.com,NH,4400000,2474.5437,Software,48,2011,1,20,,Nashua
211,https://www.inc.com/profile/bookkeeper-business-launch,Bookkeeper Business Launch,learntobeabookkeeper.com,WY,4400000,1939.8376,Education,8,2015,1,1,,Cheyenne
250,https://www.inc.com/profile/vespa-group,Vespa Group,vespa-group.com,IN,4400000,1702.6456,IT System Development,59,2014,1,6,"Indianapolis, IN",Indianapolis
305,https://www.inc.com/profile/bentobox-cms,BentoBox CMS,getbento.com,NY,4400000,1480.2849,Software,80,2013,1,9,New York City,New York
456,https://www.inc.com/profile/morning-lavender,Morning Lavender,morninglavender.com,CA,4400000,992.6647,Retail,45,2014,2,3,Los Angeles,Tustin
916,https://www.inc.com/profile/holzer-resnick-contracting,Holzer Resnick Contracting,holzerresnick.com,PA,4400000,464.3846,Construction,25,2006,1,4,"Pittsburgh, PA",Pittsburgh
1015,https://www.inc.com/profile/fastexpert,FastExpert,fastexpert.com,CA,4400000,416.0884,Real Estate,18,2014,2,8,Los Angeles,San Marino
1349,https://www.inc.com/profile/old-dominion-mechanical,Old Dominion Mechanical,odmva.com,VA,4400000,306.1344,Construction,31,2013,2,6,"Richmond, VA",Richmond
1483,https://www.inc.com/profile/self-publishing-school,Self-Publishing School,self-publishingschool.com,CA,4400000,277.5732,Education,17,2014,2,5,,Venice
1555,https://www.inc.com/profile/ops-tech-alliance,Ops Tech Alliance,ops-tech-alliance.com,MD,4400000,266.6477,Security,40,2012,2,12,"Washington, DC",Bowie
2097,https://www.inc.com/profile/seo-werkz,SEO Werkz,seowerkz.com,UT,4400000,191.7296,Advertising & Marketing,25,2013,3,10,Salt Lake City,Riverton
2146,https://www.inc.com/profile/q4launch,Q4Launch,q4launch.com,SC,4400000,187.2921,Advertising & Marketing,48,2008,3,15,"Charleston, SC",Mt Pleasant
2281,https://www.inc.com/profile/pipaya-partners,Pipaya Partners,pipaya.com,VA,4400000,176.0876,Financial Services,11,2009,3,6,"Washington, DC",Vienna
2556,https://www.inc.com/profile/tectonic-audio-labs,Tectonic Audio Labs,tectonicaudiolabs.com,WA,4400000,153.3623,Consumer Products & Services,25,2012,1,10,Seattle,Woodinville
2583,https://www.inc.com/profile/anytime-flooring,Anytime Flooring,anytimeflooring.com,LA,4400000,151.4956,Construction,7,2009,1,3,"Baton Rouge, LA",Baton Rouge
2624,https://www.inc.com/profile/summit-cpa-group,Summit CPA Group,summitcpa.net,IN,4400000,148.2142,Financial Services,35,2002,3,26,,Fort Wayne
2870,https://www.inc.com/profile/keeping-current-matters,Keeping Current Matters,keepingcurrentmatters.com,VA,4400000,130.428,Business Products & Services,19,2007,2,12,New York City,Richmond
3494,https://www.inc.com/profile/db-services,DB Services,dbservices.com,IN,4400000,100.5645,Software,26,2003,1,11,"Indianapolis, IN",Indianapolis
3622,https://www.inc.com/profile/operative-iq-ems-technology-solutions,Operative IQ / EMS Technology Solutions,operativeiq.com,GA,4400000,96.3978,Software,15,2007,1,12,Atlanta,Austell
3741,https://www.inc.com/profile/solodev,Solodev,solodev.com,FL,4400000,90.9918,Software,23,2006,4,14,"Orlando, FL",Orlando
3948,https://www.inc.com/profile/international-voyager,International Voyager,internationalvoyager.com,NJ,4400000,82.9975,Travel & Hospitality,28,2002,4,19,,Morristown
4039,https://www.inc.com/profile/the-heyl-group-at-keller-williams,The Heyl Group at Keller Williams,heylrealestate.com,TX,4400000,80.0662,Real Estate,13,2010,5,10,Austin,Austin
4107,https://www.inc.com/profile/matthew-a-dickason-pc,Matthew A. Dickason,http://dickasonlaw.com,GA,4400000,77.6299,Business Products & Services,27,2007,1,16,Atlanta,Atlanta
4163,https://www.inc.com/profile/midwest-restoration,Midwest Restoration,midwestrestoration.com,WI,4400000,75.6757,Construction,20,2008,4,8,,LITTLE CHUTE
4290,https://www.inc.com/profile/1st-choice-roofing-company,1st Choice Roofing Company,1stchoiceroofing.com,OH,4400000,71.3712,Construction,37,2006,1,22,Cleveland,Cleveland
4302,https://www.inc.com/profile/the-dirt-connection,The Dirt Connection,thedirtconnection.com,CA,4400000,71.0828,Construction,9,1991,3,4,San Diego,Oceanside
4651,https://www.inc.com/profile/precision-laser-services,Precision Laser Services,plsmfg.com,IN,4400000,61.5413,Manufacturing,47,1941,3,31,,Fort Wayne
4707,https://www.inc.com/profile/scrimmage,Scrimmage,http://wescrimmage.com,MN,4400000,60.1754,Software,24,2010,2,12,Minneapolis,Minneapolis
4841,https://www.inc.com/profile/bizstream,BizStream,bizstream.com,MI,4400000,56.9991,Software,31,2001,1,23,,Allendale
4967,https://www.inc.com/profile/alliance-2020,Alliance 2020,alliance2020.com,WA,4400000,53.1181,Business Products & Services,30,1987,1,15,Seattle,Renton
86,https://www.inc.com/profile/supportninja,SupportNinja,http://supportninja.com,TX,4500000,3683.6824,Business Products & Services,463,2015,1,22,Austin,Austin
193,https://www.inc.com/profile/supinf-technologies,Supinf Technologies,supinf-tech.com,MD,4500000,2076.8839,Government Services,10,2009,1,2,"Washington, DC",Rockville
217,https://www.inc.com/profile/fattmerchant,Fattmerchant,fattmerchant.com,FL,4500000,1914.7356,Financial Services,75,2014,1,5,"Orlando, FL",Orlando
224,https://www.inc.com/profile/office-libations,Office Libations,officelibations.com,CA,4500000,1843.5572,Food & Beverage,15,2014,1,3,San Francisco,Oakland
264,https://www.inc.com/profile/hemper,Hemper,hemper.co,NY,4500000,1650.6419,Consumer Products & Services,18,2015,1,3,New York City,HAUPPAUGE
468,https://www.inc.com/profile/directive,Directive,directiveconsulting.com,CA,4500000,965.3391,Advertising & Marketing,46,2014,1,8,Los Angeles,Irvine
527,https://www.inc.com/profile/beauty-bakerie-cosmetics-brand,Beauty Bakerie Cosmetics Brand,beautybakerie.com,CA,4500000,828.265,Consumer Products & Services,30,2011,1,4,San Diego,San Diego
532,https://www.inc.com/profile/kuli-kuli-foods,Kuli Kuli Foods,kulikulifoods.com,CA,4500000,819.8336,Food & Beverage,10,2014,2,2,San Francisco,Oakland
744,https://www.inc.com/profile/katydid,Katydid,katydidwholesale.com,TX,4500000,587.1082,Consumer Products & Services,8,2004,3,6,Dallas,Dallas
824,https://www.inc.com/profile/key-tower,Key Tower,keytower.com,IL,4500000,518.0285,Telecommunications,50,2014,1,15,Chicago,Chicao
831,https://www.inc.com/profile/flavors15,Flavors15,flavorsunited.com,OH,4500000,511.9625,Manufacturing,13,2015,1,4,,Miamisburg
1086,https://www.inc.com/profile/repsly,Repsly,repsly.com,MA,4500000,386.5655,Software,50,2008,1,15,Boston,Boston
1089,https://www.inc.com/profile/fountainhead-commercial-capital,Fountainhead Commercial Capital,fountainhead504.com,FL,4500000,385.2364,Financial Services,12,2015,1,4,"Orlando, FL",Lake Mary
1150,https://www.inc.com/profile/clearview-business-intelligence,Clearview Business Intelligence,clearviewlive.com,UT,4500000,360.3298,Software,50,2012,2,20,"Ogden-Clearfield, UT",Roy
1283,https://www.inc.com/profile/arc-risk-and-compliance,ARC Risk and Compliance,arcriskandcompliance.com,NJ,4500000,320.6436,Financial Services,22,2009,2,15,,Hamilton
1808,https://www.inc.com/profile/filescom,Files.com,files.com,NV,4500000,225.4085,Software,14,2008,1,5,"Las Vegas, NV",Las Vegas
1882,https://www.inc.com/profile/elevate,Elevate,elevatedeffect.com,DC,4500000,214.8251,Business Products & Services,53,2013,3,22,"Washington, DC",Washington
2262,https://www.inc.com/profile/eventsphere,EventSphere,eventsphere.com,GA,4500000,177.833,Travel & Hospitality,30,2010,3,22,Atlanta,Atlanta
2401,https://www.inc.com/profile/practice-promotions,Practice Promotions,practicepromotions.net,VA,4500000,166.51,Advertising & Marketing,30,2012,1,5,"Richmond, VA",Chesterfield
2619,https://www.inc.com/profile/manhattantechsupportcom,ManhattanTechSupport.com,manhattantechsupport.com,NY,4500000,148.5525,IT Management,24,2012,1,8,New York City,New York
3000,https://www.inc.com/profile/ar-solutions,AR Solutions,arsolinc.com,DE,4500000,123.9907,IT Management,30,2009,1,19,Philadelphia,Claymont
3069,https://www.inc.com/profile/facility-systems,Facility Systems,fsikc.com,KS,4500000,120.7535,Construction,10,1985,1,7,"Kansas City, MO-KS",OVERLAND PARK
3153,https://www.inc.com/profile/gc-realty-development,GC Realty & Development,gcrealtyinc.com,IL,4500000,116.2381,Real Estate,21,2003,1,7,Chicago,Bartlett
3502,https://www.inc.com/profile/prepnow,PrepNow,prepnow.com,MA,4500000,100.3036,Education,20,2011,4,18,Boston,Boston
3586,https://www.inc.com/profile/tamarack-consulting,Tamarack Consulting,tamarackconsulting.com,MN,4500000,97.5393,Software,27,2001,4,16,Minneapolis,Minneapolis
3762,https://www.inc.com/profile/netreo,Netreo,netreo.com,CA,4500000,89.5833,Software,21,2000,3,17,Los Angeles,Irvine
3925,https://www.inc.com/profile/contract-solutions,Contract Solutions,contractsolutions-inc.com,VA,4500000,84.1522,Government Services,46,2006,3,37,"Washington, DC",MANASSAS
4435,https://www.inc.com/profile/tgrp-solutions,TGRP Solutions,tgrpsolutions.com,CO,4500000,67.0739,Business Products & Services,31,2010,1,31,Denver,Englewood
4474,https://www.inc.com/profile/illuminate,Illuminate,illuminate.net,MA,4500000,65.9963,Business Products & Services,20,2004,1,10,Boston,Boston
4646,https://www.inc.com/profile/klemchuk-llp,Klemchuk,http://klemchuk.com,TX,4500000,61.6037,Business Products & Services,17,2009,1,18,Dallas,Dallas
4702,https://www.inc.com/profile/monster-technology,Monster Technology,monstertechnology.net,CA,4500000,60.3462,Business Products & Services,15,2012,3,8,Los Angeles,Lawndale
4754,https://www.inc.com/profile/harmonics-consulting,Harmonics Consulting,harmonicsconsulting.com,VA,4500000,59.1462,Government Services,20,2013,1,12,"Washington, DC",Fairfax
4784,https://www.inc.com/profile/gxa-network-solutions,GXA Network Solutions,gxait.com,TX,4500000,58.4342,IT Services,16,2004,2,17,Dallas,Richardson
4943,https://www.inc.com/profile/icube-consultancy-services,Icube Consultancy Services,http://icubecsi.com,FL,4500000,53.695,IT Services,25,1997,4,24,"Jacksonville, FL",Jacksonville
5000,https://www.inc.com/profile/vivayic,Vivayic,vivayic.com,NE,4500000,52.1691,Business Products & Services,27,2006,4,22,,Lincoln
74,https://www.inc.com/profile/core-software-technologies,Core Software Technologies,coresofttech.com,NJ,4600000,4246.751,Software,39,2011,3,1,New York City,Plainsboro
182,https://www.inc.com/profile/1link-technology,1Link Technology,http://1linktechnology.com,TN,4600000,2138.2034,IT Management,55,2014,1,20,,Germantown
245,https://www.inc.com/profile/tier4-group,Tier4 Group,http://tier4group.com,GA,4600000,1729.3981,Business Products & Services,0,2010,1,3,Atlanta,Atlanta
391,https://www.inc.com/profile/cosset,Cosset,cossetbathandbody.com,UT,4600000,1168.8845,Retail,70,2014,1,5,Salt Lake City,South Salt Lake
578,https://www.inc.com/profile/alphacore,Alphacore,alphacoreinc.com,AZ,4600000,766.8987,Computer Hardware,23,2012,2,3,Phoenix,Tempe
717,https://www.inc.com/profile/vsa,VSA,vsaprospecting.com,NJ,4600000,611.8038,Business Products & Services,104,2001,2,28,Philadelphia,Haddonfield
774,https://www.inc.com/profile/the-garage-group,The Garage Group,thegaragegroup.com,OH,4600000,558.3994,Business Products & Services,25,2010,3,5,Cincinnati,CINCINNATI
907,https://www.inc.com/profile/kartago-america,Kartago America,kartagofoods.com,NJ,4600000,468.8703,Food & Beverage,3,2014,1,2,New York City,kenilworth
981,https://www.inc.com/profile/scott-vicknair-hair-checki,"Scott, Vicknair, Hair & Checki",svhclaw.com,LA,4600000,431.167,Consumer Products & Services,21,2011,2,7,New Orleans,New Orleans
983,https://www.inc.com/profile/vessel-fwp,Vessel FWP,vesselbags.com,CA,4600000,428.7233,Retail,9,2012,2,4,San Diego,Carlsbad
991,https://www.inc.com/profile/ciconix,Ciconix,http://ciconix.com,MD,4600000,426.938,Government Services,38,2012,2,7,Baltimore,Annapolis
1046,https://www.inc.com/profile/triumph-construction,Triumph Construction,triumphconstructionbr.com,LA,4600000,399.5549,Construction,25,2009,1,5,"Baton Rouge, LA",Baton Rouge
1463,https://www.inc.com/profile/kontrol,Kontrol,kontrolpayables.com,MD,4600000,282.6742,Financial Services,12,2012,2,3,,Severna Park
1850,https://www.inc.com/profile/applied-resource-group,Applied Resource Group,appliedrg.com,GA,4600000,219.3589,IT Management,38,2010,3,13,Atlanta,Alpharetta
2057,https://www.inc.com/profile/challas-group,Challas Group,challasgroup.com,IL,4600000,195.6186,Financial Services,45,2014,2,15,Chicago,NORTHBROOK
2106,https://www.inc.com/profile/noetic-strategies,Noetic Strategies,noeticstrategies.com,AL,4600000,191.0651,IT Management,41,2006,1,14,"Huntsville, AL",Huntsville
2151,https://www.inc.com/profile/denair-hvac,Denair HVAC,denairhvac.com,NY,4600000,186.852,Construction,28,2007,1,12,New York City,Brooklyn
2273,https://www.inc.com/profile/the-nutrition-corners,The Nutrition Corners,thenutritioncorners.com,VA,4600000,176.3145,Health,25,2010,3,8,"Washington, DC",Vienna
2288,https://www.inc.com/profile/oakman-aerospace,Oakman Aerospace,oak-aero.com,CO,4600000,175.6917,Engineering,23,2012,1,9,Denver,Littleton
3012,https://www.inc.com/profile/r-y-ac-compressors,R & Y A/C Compressors,rycompressors.com,FL,4600000,123.3031,Manufacturing,26,1989,1,20,Miami,North Miami Beach
3048,https://www.inc.com/profile/higherground-managed-services,HigherGround Managed Services,highergroundmsp.com,IL,4600000,121.5969,IT Management,30,2004,1,4,Chicago,Rolling Meadows
3126,https://www.inc.com/profile/energy-fitness,Energy Fitness,energyfitness.com,NY,4600000,117.5575,Health,150,2003,4,120,New York City,St. James
3407,https://www.inc.com/profile/oxford-builders,Oxford Builders,oxfordbuilders.com,TX,4600000,103.9137,Construction,45,1996,1,35,Houston,Houston
3459,https://www.inc.com/profile/bigtime-software,BigTime Software,bigtime.net,IL,4600000,101.7504,Software,45,2001,1,15,Chicago,Chicago
3470,https://www.inc.com/profile/three-day-rule,Three Day Rule,http://threedayrule.com,CA,4600000,101.3773,Consumer Products & Services,50,2013,1,25,Los Angeles,Santa Monica
3523,https://www.inc.com/profile/rugo-machine-shop-services,Rugo Machine Shop Services,rugomachineshop.com,AZ,4600000,99.5071,Manufacturing,30,2006,2,15,Phoenix,Phoenix
3563,https://www.inc.com/profile/occu-tec,Occu-Tec,http://occutec.com,MO,4600000,98.1141,Environmental Services,23,1983,1,18,"Kansas City, MO-KS",North Kansas City
3726,https://www.inc.com/profile/accusource,AccuSource,accusource-online.com,CA,4600000,91.8161,Business Products & Services,25,1999,1,14,"Inland Empire, CA",Corona
3909,https://www.inc.com/profile/kcl-engineering,KCL Engineering,kclengineering.com,IA,4600000,84.5658,Engineering,35,2008,2,26,"Des Moines, IA",West Des Moines
4049,https://www.inc.com/profile/wizehive,WizeHive,wizehive.com,PA,4600000,79.7981,Software,50,2008,1,27,Philadelphia,Conshohocken
4176,https://www.inc.com/profile/todays-business,Todays Business,tbsmo.com,NJ,4600000,75.0269,Advertising & Marketing,33,2011,2,25,New York City,Pine Brook
4250,https://www.inc.com/profile/30-point-strategies,30 Point Strategies,30point.com,MD,4600000,72.5046,Advertising & Marketing,13,2008,2,9,"Washington, DC",Bethesda
4316,https://www.inc.com/profile/crabtree-rowe-berger-pc,"Crabtree, Rowe & Berger",http://crbcpa.net,AL,4600000,70.7733,Financial Services,36,2002,1,24,"Huntsville, AL",Huntsville
4683,https://www.inc.com/profile/wa-smith-financial-group,W.A. Smith Financial Group,wasmithfinancial.com,OH,4600000,60.7395,Financial Services,17,2011,1,12,,Sandusky
4734,https://www.inc.com/profile/quality-mobile-home-services,Quality Mobile Home Services,callquality.com,CA,4600000,59.5177,Construction,45,2013,3,25,"Inland Empire, CA",Lake Elsinore
4802,https://www.inc.com/profile/cap-city-dental-lab,Cap City Dental Lab,capcitydentallab.com,OH,4600000,57.992,Manufacturing,13,2003,1,11,"Columbus, OH",Columbus
72,https://www.inc.com/profile/sky-marketing-corporation,Sky Marketing Corporation,smcdistribution.com,TX,4700000,4279.7746,Consumer Products & Services,30,2015,1,3,Austin,Austin
80,https://www.inc.com/profile/wandrd,Wandrd,http://wandrd.com,UT,4700000,4088.016,Consumer Products & Services,12,2015,1,2,"Provo-Orem, UT",Orem
110,https://www.inc.com/profile/inspiranza-designs,Inspiranza Designs,inspiranzadesigns.com,IL,4700000,3099.3348,Retail,10,2005,2,2,"St. Louis, MO-IL",Columbia
126,https://www.inc.com/profile/gravity-resources,Gravity IT Resources,http://gravityitresources.com,FL,4700000,2773.5884,Business Products & Services,25,2015,1,5,Miami,Fort Lauderdale
144,https://www.inc.com/profile/arsenal-strength,Arsenal Strength,http://myarsenalstrength.com,TN,4700000,2578.6272,Business Products & Services,4,2014,1,2,,Knoxville
233,https://www.inc.com/profile/flipcause,Flipcause,flipcause.com,CA,4700000,1792.335,Software,30,2012,1,11,San Francisco,Oakland
263,https://www.inc.com/profile/impact-analytics,Impact Analytics,http://impactanalytics.co,MD,4700000,1651.5508,Business Products & Services,175,2014,2,20,Baltimore,"Linthicum, MD 21090"
370,https://www.inc.com/profile/m7-services,M7 Services,m7services.com,TX,4700000,1237.9324,IT Management,30,2014,1,3,Houston,Houston
393,https://www.inc.com/profile/della-infotech,Della Infotech,dellainfotech.com,NJ,4700000,1165.5448,IT Management,115,2012,2,15,,Hamilton
502,https://www.inc.com/profile/lemonaid-health,Lemonaid Health,http://lemonaidhealth.com,CA,4700000,868.2749,Health,40,2014,1,3,San Francisco,San Francisco
539,https://www.inc.com/profile/hyper-networks,Hyper Networks,hypernetworks.com,NV,4700000,815.1515,IT Management,13,2014,1,3,"Las Vegas, NV",Henderson
889,https://www.inc.com/profile/skynet-healthcare-technologies,Skynet Healthcare Technologies,skynethealthcare.com,FL,4700000,477.337,Health,34,2013,2,12,Tampa,Palm Harbor
900,https://www.inc.com/profile/procureit-network,ProcureIT Network,procureitnetwork.com,MO,4700000,472.8643,Software,2,2013,2,2,"Kansas City, MO-KS",Grain Valley
1053,https://www.inc.com/profile/swenson-he,Swenson He,swensonhe.com,CA,4700000,398.3363,Software,19,2014,1,6,Los Angeles,Culver City
1084,https://www.inc.com/profile/tk-trailer-parts,TK Trailer Parts,thetrailerpartsoutlet.com,TX,4700000,386.871,Retail,12,2014,2,3,,Madisonville
1148,https://www.inc.com/profile/big-idea-technology,Big Idea Technology,bigideatech.com,NY,4700000,361.4736,IT Management,20,2015,1,4,New York City,New York
1347,https://www.inc.com/profile/tokenex,TokenEx,tokenex.com,OK,4700000,306.4106,Software,24,2010,2,4,"Oklahoma City, OK",EDMOND
1454,https://www.inc.com/profile/primal-life-organics,Primal Life Organics,primallifeorganics.com,OH,4700000,284.5567,Consumer Products & Services,38,2012,3,12,,Copley
2559,https://www.inc.com/profile/human-element,Human Element,human-element.com,MI,4700000,153.0821,IT System Development,38,2005,3,15,"Ann Arbor, MI",Ann Arbor
2645,https://www.inc.com/profile/restore-rehab-services,Restore Rehab Services,restorerehab.org,TX,4700000,147.0535,Health,34,2009,1,13,Houston,Houston
2750,https://www.inc.com/profile/klein-hall-cpas,Klein Hall CPAs,kleinhallcpa.com,IL,4700000,138.6355,Financial Services,32,2002,3,12,Chicago,Aurora
2765,https://www.inc.com/profile/rmg-media,RMG Media,rmgmedia.com,NY,4700000,137.0602,Advertising & Marketing,45,2013,1,15,New York City,New York
3020,https://www.inc.com/profile/us,US,us-incorporated.com,MD,4700000,122.9266,Manufacturing,22,2008,1,5,"Washington, DC",Beltsville
3047,https://www.inc.com/profile/rockway-exhibits-events,Rockway Exhibits + Events,rockwayexhibits.com,FL,4700000,121.6035,Advertising & Marketing,25,2011,1,10,"Orlando, FL",Orlando
3179,https://www.inc.com/profile/obility,Obility,obilityb2b.com,OR,4700000,115.2341,Advertising & Marketing,32,2011,4,22,,Portland
3529,https://www.inc.com/profile/ctc-events-and-productions,CTC Events and Productions,ctc-events.com,VA,4700000,99.3015,Travel & Hospitality,5,2008,1,2,"Washington, DC",Fairfax
4189,https://www.inc.com/profile/rocs-grad-staffing,ROCS Grad Staffing,rocsstaffing.com,VA,4700000,74.6112,Human Resources,12,2003,1,7,"Washington, DC",Herndon
4379,https://www.inc.com/profile/immersion-active,Immersion Active,immersionactive.com,MD,4700000,68.6241,Advertising & Marketing,27,1998,2,16,"Washington, DC",Frederick
4534,https://www.inc.com/profile/dreamclinic,Dreamclinic,dreamclinic.com,WA,4700000,64.629,Health,130,2003,4,85,Seattle,Seattle
4871,https://www.inc.com/profile/muscular-moving-men-storage,Muscular Moving Men & Storage,muscularmovingmen.com,AZ,4700000,56.1928,Logistics & Transportation,75,2008,1,40,Phoenix,Phoenix
98,https://www.inc.com/profile/eagle-transport-and-logistics,Eagle Transport and Logistics,theeagletransport.com,OH,4800000,3339.6237,Logistics & Transportation,35,2014,1,1,"Columbus, OH",Columbus
389,https://www.inc.com/profile/rentedcom,Rented.com,rented.com,GA,4800000,1183.9145,Travel & Hospitality,28,2013,1,16,Atlanta,Atlanta
529,https://www.inc.com/profile/nickel-suede,Nickel & Suede,nickelandsuede.com,MO,4800000,827.665,Consumer Products & Services,36,2014,2,5,"Kansas City, MO-KS",Liberty
695,https://www.inc.com/profile/acliviti,Acliviti,http://acliviti.com,IL,4800000,625.8506,Telecommunications,10,2015,1,2,Chicago,Chicago
767,https://www.inc.com/profile/the-hiring-group,The Hiring Group,thehiringgroup.com,SC,4800000,565.72,Human Resources,11,2014,2,2,Atlanta,Greer
834,https://www.inc.com/profile/ipfolio,IPfolio,ipfolio.com,CA,4800000,509.7145,Software,30,2012,2,7,San Francisco,Berkeley
972,https://www.inc.com/profile/360-energy-solutions,360 Energy Solutions,http://360energysolutions.net,FL,4800000,437.2589,Energy,24,2013,2,14,Miami,Miami
1276,https://www.inc.com/profile/blue-label-labs,Blue Label Labs,bluelabellabs.com,WA,4800000,323.0921,Software,15,2011,3,3,New York City,Redmond
1433,https://www.inc.com/profile/advance-your-reach,Advance Your Reach,advanceyourreach.com,CO,4800000,288.2373,Business Products & Services,10,2006,1,3,,Colorado Springs
1692,https://www.inc.com/profile/rebellion-photonics,Rebellion Photonics,rebellionphotonics.com,TX,4800000,241.3028,Energy,38,2011,3,16,Houston,Houston
2242,https://www.inc.com/profile/propharma-sales,ProPharma Sales,propharmasales.com,MO,4800000,179.4639,Advertising & Marketing,32,2013,2,15,"St. Louis, MO-IL",Saint Louis
2528,https://www.inc.com/profile/sullivan-engineering,Sullivan Engineering,sullivanengineeringllc.com,NY,4800000,155.457,Engineering,26,2010,3,10,New York City,New York
2698,https://www.inc.com/profile/greenway-insurance,Greenway Insurance,greenway-ins.com,TX,4800000,143.1478,Insurance,22,2007,4,18,Houston,Houston
2780,https://www.inc.com/profile/computer-overhauls,Computer Overhauls,computeroverhauls.com,NY,4800000,135.9784,Consumer Products & Services,10,2005,3,8,New York City,New York
2804,https://www.inc.com/profile/e-volve-systems,E-Volve Systems,e-volvesystems.com,OH,4800000,134.3859,Engineering,23,2010,4,9,Cincinnati,Cincinnati
3072,https://www.inc.com/profile/competitive-health,Competitive Health,competitivehealth.com,CA,4800000,120.6655,Health,5,1996,2,3,Los Angeles,Irvine
3707,https://www.inc.com/profile/37th-parallel-properties,37th Parallel Properties,37parallel.com,VA,4800000,92.8465,Real Estate,12,2008,4,6,"Richmond, VA",Richmond
3895,https://www.inc.com/profile/corp2000,Corp2000,corp2000.com,CA,4800000,84.8944,Business Products & Services,14,1979,2,5,"Sacramento, CA",Sacramento
3918,https://www.inc.com/profile/safe-hiring-solutions,Safe Hiring Solutions,safehiringsolutions.com,IN,4800000,84.2678,Security,40,2004,5,28,"Indianapolis, IN",Danville
4182,https://www.inc.com/profile/crm-passport,CRM Passport,gsdcompany.com,NY,4800000,74.8797,Software,50,2014,1,10,New York City,New York
4623,https://www.inc.com/profile/municipay,MuniciPAY,municipay.com,ME,4800000,62.3391,Government Services,10,2008,5,7,,Portland
4830,https://www.inc.com/profile/grapevine-msp-technology-services,Grapevine MSP Technology Services,grapevinemsp.com,CA,4800000,57.2145,IT Services,33,2009,3,28,,Bakersfield
4987,https://www.inc.com/profile/imarket-solutions,iMarket Solutions,imarketsolutions.com,VT,4800000,52.5697,Advertising & Marketing,40,2010,5,23,Los Angeles,Burlington
92,https://www.inc.com/profile/kentucky-counseling-center,Kentucky Counseling Center,kentuckycounselingcenter.com,KY,4900000,3417.6308,Health,19,2014,1,1,"Louisville/Jefferson County, KY-IN",LOUISVILLE
160,https://www.inc.com/profile/octopi-brewing,Octopi Brewing,http://octopibrewing.com,WI,4900000,2383.9486,Manufacturing,36,2014,1,5,"Madison, WI",Waunakee
285,https://www.inc.com/profile/alert-media,Alert Media,alertmedia.com,TX,4900000,1549.2845,Software,73,2013,1,21,Austin,Austin
431,https://www.inc.com/profile/clean-juice,Clean Juice,http://cleanjuice.com,NC,4900000,1046.9939,Retail,210,2015,1,20,Charlotte,Charlotte
499,https://www.inc.com/profile/sarvicus,Sarvicus,sarvicus.com,TX,4900000,870.4774,Telecommunications,15,2010,1,2,Houston,Houston
690,https://www.inc.com/profile/evolution-event-solutions,Evolution Event Solutions,evolutioneventsolutions.com,TN,4900000,631.9012,Travel & Hospitality,8,2012,2,2,Nashville,Nashville
848,https://www.inc.com/profile/applepie-capital,ApplePie Capital,applepiecapital.com,CA,4900000,500.6083,Financial Services,42,2014,1,10,San Francisco,SF
1489,https://www.inc.com/profile/flux7,Flux7,flux7.com,TX,4900000,277.1657,IT System Development,59,2013,2,12,Austin,Austin
1586,https://www.inc.com/profile/projectmanagercom,ProjectManager.com,projectmanager.com,TX,4900000,259.4253,Software,16,2008,1,6,Austin,Austin
2328,https://www.inc.com/profile/bodyhealth,BodyHealth,bodyhealth.com,FL,4900000,172.7723,Health,8,2000,1,4,Tampa,Clearwater
2610,https://www.inc.com/profile/nelson-construction-and-renovations,Nelson Construction and Renovations,nelsonconstructionrenos.com,FL,4900000,149.4428,Construction,25,2006,1,10,Tampa,Clearwater
2647,https://www.inc.com/profile/vox-djs,VOX DJs,voxdjs.com,CA,4900000,146.8247,Consumer Products & Services,130,1984,3,45,Los Angeles,Torrance
2797,https://www.inc.com/profile/altura-engineering-design,Altura Engineering & Design,alturaengineering.com,TX,4900000,134.8933,Engineering,35,2013,3,13,,Amarillo
