_ - rank,Profile,name,url,state,_ - revenue,_ - growth,_ - industry,_ - workers,_ - founded,_ - yrs_on_list,_ - previous_workers,_ - metro,city
3649,https://www.inc.com/profile/client-savvy,Client Savvy,clientsavvy.com,NC,2000000,95.4258,Business Products & Services,11,2004,1,8,"Raleigh, NC",Raleigh
3887,https://www.inc.com/profile/rentwerx-property-management,RentWerx Property Management,rentwerx.com,TX,2000000,85.2102,Real Estate,26,2011,1,5,"San Antonio, TX",San Antonio
3990,https://www.inc.com/profile/thorn-pest-solutions,Thorn Pest Solutions,thornservices.com,UT,2000000,81.4541,Business Products & Services,27,2007,1,15,"Provo-Orem, UT",Pleasant Grove
4174,https://www.inc.com/profile/pn-automation,PN Automation,pnautomation.com,MD,2000000,75.044,Software,20,2004,1,9,Baltimore,Baltimore
4233,https://www.inc.com/profile/dbsync,DBSync,mydbsync.com,TN,2000000,72.9429,Software,55,2009,1,30,San Francisco,Brentwood
4251,https://www.inc.com/profile/towner-communications,Towner Communications,townerkc.com,KS,2000000,72.4711,Telecommunications,15,1965,1,6,"Kansas City, MO-KS",Mission
4351,https://www.inc.com/profile/taylors-natural-green-lawn,Taylor's Natural Green Lawn,taylorsway.com,IL,2000000,69.493,Consumer Products & Services,19,1973,1,13,,Princeton
4449,https://www.inc.com/profile/revel-interactive,Revel Interactive,revelinteractive.com,CO,2000000,66.7877,Advertising & Marketing,19,2011,1,9,Denver,Denver
4475,https://www.inc.com/profile/bottlerocket-media,Bottlerocket Media,bottlerocketmedia.net,IL,2000000,65.9844,Media,8,2011,1,2,Chicago,Oak Park
4545,https://www.inc.com/profile/rendition-infosec,Rendition Infosec,rsec.us,GA,2000000,64.3139,Security,25,2013,1,4,,Augusta
4590,https://www.inc.com/profile/sbc-contractors,SBC Contractors,sbccontractors.com,CA,2000000,63.1469,Construction,5,2003,1,4,,Roseville
4649,https://www.inc.com/profile/danas-bakery,Dana's Bakery,danasbakery.com,NJ,2000000,61.5447,Food & Beverage,40,2012,2,10,New York City,South Hackensack
4724,https://www.inc.com/profile/netropole,Netropole,netropole.com,OR,2000000,59.7402,IT Services,11,1994,1,7,,Portland
4993,https://www.inc.com/profile/red-six-media,Red Six Media,redsixmedia.com,LA,2000000,52.4442,Advertising & Marketing,16,2009,1,8,"Baton Rouge, LA",Baton Rouge
242,https://www.inc.com/profile/medisuite,Medisuite,medisuite.com,NC,2100000,1738.1728,Health,12,2013,1,2,"Raleigh, NC",Cary
360,https://www.inc.com/profile/m2m-in-motion,M2M In Motion,m2minmotion.com,IL,2100000,1270.6676,Software,17,2013,1,2,Chicago,Lombard
510,https://www.inc.com/profile/loanpaymentpro,LoanPaymentPro,loanpaymentpro.com,IL,2100000,855.3665,Business Products & Services,12,2011,1,4,Chicago,Bloomingdale
667,https://www.inc.com/profile/national-insurance-consulting-group,National Insurance Consulting Group,nicgrp.com,FL,2100000,655.2979,Insurance,13,2014,1,3,Miami,Fort Lauderdale
675,https://www.inc.com/profile/c-evans-consulting,C Evans Consulting,cevansconsulting.com,VA,2100000,646.9463,Human Resources,17,2015,1,1,"Washington, DC",Reston
891,https://www.inc.com/profile/dock-street-trading,Dock Street Trading,dockstreettrading.com,IN,2100000,476.232,Consumer Products & Services,9,2015,1,3,"Indianapolis, IN",Indianapolis
921,https://www.inc.com/profile/luxe-rv,Luxe RV,luxervrental.com,CA,2100000,459.931,Travel & Hospitality,27,2014,1,12,Los Angeles,Los Angeles
931,https://www.inc.com/profile/wright-energy-partners,Wright Energy Partners,wrightled.com,MI,2100000,457.4884,Energy,15,2015,1,2,Detroit,Detroit
935,https://www.inc.com/profile/global-soft-systems,Global Soft Systems,globalsoftsystems.com,KS,2100000,455.3191,IT System Development,32,2004,2,5,"Kansas City, MO-KS",Overland Park
1082,https://www.inc.com/profile/axiom-path,Axiom Path,axiompath.com,NC,2100000,386.9726,IT Management,27,2014,1,3,Charlotte,Charlotte
1129,https://www.inc.com/profile/construction-cost-management,Construction Cost Management,buildcostcontrol.com,TX,2100000,369.5461,Engineering,15,1979,1,6,Dallas,Fort Worth
1158,https://www.inc.com/profile/digital-forensic-services,Digital Forensic Services,digitalforensics-usa.com,MD,2100000,358.507,Government Services,18,2014,1,4,"Washington, DC",Greenbelt
1216,https://www.inc.com/profile/fix-it-people,Fix It People,http://fixitpeople.com,IL,2100000,337.2098,Real Estate,12,2012,1,5,Chicago,Chicago
1248,https://www.inc.com/profile/iarch-solutions,iArch Solutions,iarchsolutions.com,CT,2100000,331.1737,IT Management,7,2013,1,2,"Bridgeport-Stamford-Norwalk, CT",Monroe
1261,https://www.inc.com/profile/credit-service-intl,Credit Service Intl.,creditserviceintl.com,WI,2100000,327.4785,Health,25,1962,1,3,Minneapolis,Hudson
1288,https://www.inc.com/profile/tellus,Tellus,4tellus.com,FL,2100000,319.1057,Health,45,2014,3,3,Miami,Deerfield Beach
1520,https://www.inc.com/profile/flocknote,Flocknote,flocknote.com,TX,2100000,272.3793,Software,13,2008,1,7,Houston,Spring
1595,https://www.inc.com/profile/greenworks-service-company,GreenWorks Service Company,greenworksinspections.com,TX,2100000,257.6935,Business Products & Services,28,2009,1,7,Dallas,Dallas
1637,https://www.inc.com/profile/big-hammer-wines,Big Hammer Wines,bighammerwines.com,CA,2100000,251.9223,Food & Beverage,1,2009,2,1,San Diego,Buellton
1646,https://www.inc.com/profile/alkemy-partners-instruction-and-design,Alkemy Partners Instruction and Design,alkemypartners.com,NH,2100000,250.6396,Health,5,2012,1,2,,Amherst
1823,https://www.inc.com/profile/apex-infinite-solutions,Apex Infinite Solutions,aisllp.com,IN,2100000,223.4047,IT Management,7,2012,1,3,"Indianapolis, IN",Indianapolis
1927,https://www.inc.com/profile/connxus,ConnXus,connxus.com,OH,2100000,207.7844,Software,45,2010,1,28,Cincinnati,Mason
1936,https://www.inc.com/profile/allturna,Allturna,allturna.com,PA,2100000,206.233,Advertising & Marketing,10,2012,1,4,Philadelphia,Doylestown
1937,https://www.inc.com/profile/ryan-insurance-services,Ryan Insurance Services,ryaninsuresstaffing.com,CA,2100000,206.219,Human Resources,7,2014,1,1,,Pasadena
2056,https://www.inc.com/profile/denny-cherry-associates-consulting,Denny Cherry & Associates Consulting,dcac.com,CA,2100000,195.6733,IT Management,6,2011,1,2,San Diego,Oceanside
2222,https://www.inc.com/profile/toro-taxes,Toro Taxes,torotaxes.com,NV,2100000,181.2501,Financial Services,10,2010,2,5,"Las Vegas, NV",Las Vegas
2228,https://www.inc.com/profile/bemarketing,beMarketing,bemarketing.com,PA,2100000,180.6295,Advertising & Marketing,14,2010,1,6,Philadelphia,Blue Bell
2240,https://www.inc.com/profile/gatherup,GatherUp,http://gatherup.com,CA,2100000,179.731,Business Products & Services,15,2015,1,4,San Jose,San Jose
2255,https://www.inc.com/profile/trudigital-signage,truDigital Signage,trudigital.com,UT,2100000,178.5316,Software,20,2011,1,5,Salt Lake City,Sandy
2272,https://www.inc.com/profile/cloudnexion,Cloudnexion,cloudnexion.com,CO,2100000,176.3836,Business Products & Services,3,2012,1,1,Denver,Littleton
2348,https://www.inc.com/profile/golden-financial-services-debt-settlement-corp,Golden Financial Services Debt Settlement Corp.,goldenfs.org,FL,2100000,170.5116,Financial Services,25,2004,1,3,Miami,Boynton Beach
2367,https://www.inc.com/profile/agency672,Agency672,http://agency672.com,GA,2100000,168.9481,Advertising & Marketing,1,2013,1,1,Atlanta,Atlanta
2421,https://www.inc.com/profile/on-target-health,On Target Health,on-target-health.com,IN,2100000,164.7267,Health,22,2014,1,5,"Indianapolis, IN",Indianapolis
2502,https://www.inc.com/profile/foster-crown,Foster Crown,fostercrown.com,WI,2100000,157.3799,Health,8,2012,1,2,Milwaukee,Delafield
2525,https://www.inc.com/profile/less-annoying-software,Less Annoying Software,lessannoyingcrm.com,MO,2100000,155.8669,Software,17,2009,1,8,"St. Louis, MO-IL",St. Louis
