Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue,
Tata Consultancy Services,98.445,19.096,4.0061,16.298,404,Information Technology,Computer Services,Asia,India,India,,Rajesh Gopinathan,http://www.forbes.com/companies/tata-consultancy-services/,0.245803166,0.20978739,
Michelin Group,25.537,24.769,1.9051,30.341,405,Consumer Discretionary,Auto & Truck Parts,Europe,France,France,,Jean-Dominique Senard,http://www.forbes.com/companies/michelin-group/,0.062789625,0.076914692,
Freeport-McMoRan,23.572,17.604,2.256,36.637,406,Materials,Diversified Metals & Mining,North America,United States,Arizona,Arizona,Richard Adkerson,http://www.forbes.com/companies/freeport-mcmoran/,0.061577094,0.128152693,
Subaru,25.285,30.724,1.9882,27.121,407,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Yasuyuki Yoshinaga,http://www.forbes.com/companies/subaru/,0.073308506,0.064711626,
Novo Nordisk,116.89,17.302,6.0815,15.436,408,Health Care,Pharmaceuticals,Europe,Denmark,Denmark,,Lars Jørgensen,http://www.forbes.com/companies/novo-nordisk/,0.393981601,0.351491157,
China Merchants Shekou Industrial Zone Holdings,28.562,10.643,2.3956,57.315,409,Financials,Real Estate,Asia,China,China,,Yong Xu,http://www.forbes.com/companies/china-merchants-shekou-industrial-zone-holdings/,0.041797086,0.225086912,
Bristol-Myers Squibb,84.767,21.04,0.919,33.083,410,Health Care,Pharmaceuticals,North America,United States,New York,New York,Giovanni Caforio,http://www.forbes.com/companies/bristol-myers-squibb/,0.027778617,0.043678707,
LG Electronics,16.452,55.68,1.4825,38.673,411,Consumer Discretionary,Consumer Electronics,Asia,South Korea,South Korea,,Seong-Jin Cho,http://www.forbes.com/companies/lg-electronics/,0.038334238,0.026625359,
Texas Instruments,106.947,15.348,4.017,17.507,412,Information Technology,Semiconductors,North America,United States,Texas,Texas,Richard Templeton,http://www.forbes.com/companies/texas-instruments/,0.229451077,0.261727912,
International Airlines,19.384,25.954,2.2771,32.735,413,Industrials,Airline,Europe,United Kingdom,United Kingdom,,William Walsh,http://www.forbes.com/companies/international-airlines/,0.069561631,0.087735994,
Tokyo Electric Power,8.233,52.791,2.8699,118.4,414,Utilities,Electric Utilities,Asia,Japan,Japan,,Takashi Kawamura,http://www.forbes.com/companies/tokyo-electric-power/,0.02423902,0.054363433,
Bank Rakyat Indonesia,27.69,9.258,2.2139,81.296,415,Financials,Regional Banks,Asia,Indonesia,Indonesia,,Suprajarto,http://www.forbes.com/companies/bank-rakyat-indonesia/,0.027232582,0.239133722,
Fosun International,18.59,13.073,1.9521,81.97,416,Materials,Iron & Steel,Asia,China,China,,Qun Wang,http://www.forbes.com/companies/fosun-international/,0.02381481,0.149323032,
