Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue
ICBC,229.805,151.381,41.9837,3473.238,1,Financials,Major Banks,Asia,China,China,,Jian Jiang,http://www.forbes.com/companies/icbc/,0.0120877693955899,0.277337975043103
China Construction Bank,200.458,134.242,34.9814,3016.578,2,Financials,Major Banks,Asia,China,China,,You Guo,http://www.forbes.com/companies/china-construction-bank/,0.0115963850429195,0.26058461584303
Berkshire Hathaway,409.908,222.935,24.074,620.854,3,Financials,Investment Services,North America,United States,Nebraska,Nebraska,Warren Edward Buffett,http://www.forbes.com/companies/berkshire-hathaway/,0.0387756219658728,0.107986632875053
JPMorgan Chase,306.616,102.494,24.231,2512.986,4,Financials,Major Banks,North America,United States,New York,New York,Jamie Dimon,http://www.forbes.com/companies/jpmorgan-chase/,0.00964231396434361,0.23641383885886
Wells Fargo,274.385,97.573,21.938,1943.443,5,Financials,Major Banks,North America,United States,California,California,Timothy J. Sloan,http://www.forbes.com/companies/wells-fargo/,0.011288213752603,0.224836788865772
Agricultural Bank of China,149.229,115.698,27.7975,2816.039,6,Financials,Regional Banks,Asia,China,China,,Ying Che,http://www.forbes.com/companies/agricultural-bank-of-china/,0.00987113459721261,0.2402591228889
Bank of America,231.876,92.214,16.563,2196.847,7,Financials,Major Banks,North America,United States,North Carolina,North Carolina,Brian T. Moynihan,http://www.forbes.com/companies/bank-of-america/,0.00753944175447812,0.179614809031167
Bank of China,141.321,113.107,24.8566,2611.539,8,Financials,Major Banks,Asia,China,China,,Chen Siqing,http://www.forbes.com/companies/bank-of-china/,0.0095179892010037,0.219761818455091
Apple,752.039,217.481,45.217,331.141,9,Information Technology,Computer Hardware,North America,United States,California,California,Tim Cook,http://www.forbes.com/companies/apple/,0.136549083321002,0.207912415337432
Toyota Motor,171.85,249.902,17.1115,412.496,10,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Takeshi Uchiyamada,http://www.forbes.com/companies/toyota-motor/,0.0414828265001358,0.0684728413538107
AT&T,249.286,163.786,12.976,403.821,11,Telecommunication Services,Telecommunications services,North America,United States,Texas,Texas,Randall L. Stephenson,http://www.forbes.com/companies/att/,0.0321330490489598,0.0792253306143382
Citigroup,164.316,84.038,14.717,1795.099,12,Financials,Major Banks,North America,United States,New York,New York,Mike L. Corbat,http://www.forbes.com/companies/citigroup/,0.00819843362399511,0.175123158571123
ExxonMobil,343.165,197.518,7.84,330.314,13,Energy,Oil & Gas Operations,North America,United States,Texas,Texas,Darren W. Woods,http://www.forbes.com/companies/exxon-mobil/,0.0237349915534915,0.0396925849795968
