year,rank,name,url,founded,street1,city,state,zip,revenue,% growth,Headcount,Industry,Revenue Raw
2017,2540,YapStone,yapstone.com,1/1/99,2121 N California Blvd Suite 400,Walnut Creek,CA,94596,210.9 million,139,391,Financial Services,210910000
2017,3033,ERP Analysts,erpgroup.com,1/1/03,425 Metro PLN Ste#510,Dublin,OH,43017,73.5 million,109,464,IT Services,73514510
2017,4593,TengoInternet,tengointernet.com,1/1/02,3300 North I-35 #600 ,Austin,TX,78705,6.4 million,52,30,Telecommunications,6391373
2017,542,Pinnacle Group,pinnacle1.com/home,1/1/96,5501 Lyndon B. Johnson Fwy suite 600,Dallas,TX,75240,1.9 billion,832,1268,Human Resources,1890058695
2017,4111,AppRiver,appriver.com,1/1/02,1101 Gulf Breeze Pkwy Suite 200,Gulf Breeze,FL,32561,72.8 million,66,256,IT Services,72788393
2017,2063,Medical Solutions,medicalsolutions.com,1/1/97,1010 N. 102nd Street Suite 300,Omaha,NE,68114,352.4 million,179,301,Health,352351569
2017,4021,AgileThought,agilethought.com,1/1/04,2502 North Rocky Point Drive Suite 900,Tampa,FL,33607,35.4 million,70,259,Software,35379942
2017,1230,Sales Partnerships,salespartnerships.com,1/1/97,350 Interlocken Blvd Suite 280,Broomfield,CO,80021,26.6 million,332,300,Business Products & Services,26591011
2017,4942,MindLeaf Technologies,mindleaf.com,1/1/93,19B Crosby Dr Ste 330,Bedford,MA,01730,14 million,42,234,Health,14012385
2017,3671,Insight Global,insightglobal.com,1/1/01,4170 Ashford Dunwoody Rd Suite 250,Atlanta,GA,30319,1.7 billion,83,36000,IT Services,1676696000
2017,3467,Hargrove Engineers + Constructors,hargrove-epc.com,1/1/95,20 S Royal St. ,Mobile,AL,36602,207.2 million,90,1200,Engineering,207230797
2017,3575,Horizontal Integration,horizontalintegration.com,1/1/03,1660 Highway 100 South Suite 200,Saint Louis Park,MN,55419,82.4 million,86,461,IT Services,82392942
2017,3968,MAQ Software,maqsoftware.com,1/1/00,15446 Bel Red Road Suite 201,Redmond,WA,98052,38.4 million,72,500,Advertising & Marketing,38393892
2017,2608,Send Word Now,sendwordnow.com,1/1/01,500 Plaza Dr Suite 205,Secuacus,NJ,07094,45.3 million,134,106,Telecommunications,45337000
2017,3728,Aspen Exteriors,aspenexteriors.com,1/1/02,14245 St. Francis Blvd. Suite #101,Ramsey,MN,55303,9.9 million,80,15,Construction,9855720
2017,4538,Dynamic Systems,dynamicsystemsinc.com,1/1/91,124 Maryland Street ,El Segundo,CA,90245,125 million,54,60,IT Services,125021466
2017,4000,EXCLUSIVE Concepts,exclusiveconcepts.com,1/1/97,30 Corporate Drive Suite 350 30 Corporate Drive Suite 350,Burlington,MA,01803,7.9 million,71,58,Advertising & Marketing,7855286
2017,2578,Monogram Foods,monogramfoods.com,1/1/04,530 Oak Court Dr. Suite 400,Memphis,TN,38117,565.6 million,136,2700,Food & Beverage,565607000
2017,3337,Packsize International,packsize.com,1/1/02,3760 Smart Pack Way ,Salt Lake City,UT,84104,204 million,96,350,Manufacturing,204016981
2017,3875,Journey Mexico,journeymexico.com,1/1/03,2163 Lima Loop 130-144,Laredo,TX,78045,10.2 million,75,42,Travel & Hospitality,10177778
2017,3757,Vaco,vaco.com,1/1/02,5410 Maryland Way Ste 460,Brentwood,TN,37027,342.5 million,79,3640,Human Resources,342496259
2017,4722,Javen Technologies,javentechnologies.com,1/1/03,8030 Old Cedar Ave S # 225 ,Bloomington,MN,55425,14 million,48,85,IT Services,13968753
2017,4321,InterWorks,interworks.com,1/1/96,1425 S. SANGRE ROAD ,STILLWATER,OK,74074,34.1 million,60,137,IT Services,34050557
2017,3303,Axispoint,axispoint.com,1/1/94,1180 AVENUE OF THE AMERICAS STE 400A,New York City,NY,10036,59.7 million,96,108,IT Services,59677000
2017,4202,Phacil,phacil.com,1/1/01,800 N. Glebe Road Suite 700,Arlington,VA,22203,137.5 million,63,821,IT Services,137454159
2017,4734,Astir IT Solutions,astirit.com,1/1/01,50 Cragwood Road Suite 219,South Plainfield,NJ,07080,37.3 million,48,350,IT Services,37340766
2017,4271,Fine Solutions,fine.com,1/1/04,20700 44th Ave W. Suite 260 ,Lynnwood,WA,98036,10.2 million,61,42,IT Services,10223646
2017,4094,Synechron,synechron.com,1/1/01,15 Maiden Lane Suite 1100,New York City,NY,10038,303.4 million,67,7000,IT Services,303358555
2017,4093,DKW Communications,dkwcommunications.com,1/1/01,"2001 L Street, N.W., suite 800 ",Washington,DC,20036,22.8 million,67,200,IT Services,22800967
2017,3609,Segue Technologies,seguetech.com,1/1/97,2300 Wilson Blvd Suite 420 ,Arlington,VA,22201,29.4 million,85,98,IT Services,29410790
2017,4651,Force Marketing,forcemktg.com,1/1/07,3098 Piedmont Rd. NE 4th Floor,Atlanta,GA,30305,34.3 million,50,103,Advertising & Marketing,34327252
2017,4247,PACE Computer Solutions,pace-solutionsinc.com,1/1/02,10500 Little Patuxent Pkwy Suite,Columbia,MD,21044,18.5 million,62,140,IT Services,18512200
2017,2232,Maga Design Group,magadesign.com,1/1/05,1838 Columbia Rd NW 1838 Columbia Rd NW,Washington,DC,20009,11.8 million,164,62,Business Products & Services,11805702
2017,1405,CVP (Customer Value Partners),cvpcorp.com,1/1/03,3701 Pender Drive ,Fairfax,VA,22030,41.9 million,290,172,Business Products & Services,41882201
2017,3908,Rich Duncan Construction,richduncanconstruction.com,1/1/04,2295 Rural Ave SE ,Salem,OR,97302,20.8 million,74,27,Construction,20813452
2017,3977,CollaborateMD,collaboratemd.com,1/1/99,225 E Robinson St Ste 145 ,Orlando,FL,32801,11.6 million,71,44,Health,11606186
2017,3385,Consumer Cellular,consumercellular.com,1/1/95,12447 SW 69th Avenue ,Portland,OR,97223,685.3 million,94,1273,Telecommunications,685344365
2017,4523,Stream Companies,streamcompanies.com,1/1/96,400 Lapp Road ,Malvern,PA,19355,46.5 million,55,150,Advertising & Marketing,46544213
2017,519,Rescue | The Behavior Change Agency,rescueagency.com,1/1/05,2437 Morena Blvd 2437 Morena Blvd,San Diego,CA,92110,72.8 million,861,147,Advertising & Marketing,72758130
2017,4554,LaunchSquad,launchsquad.com,1/1/00,340 Pine Street Suite 100,San Francisco,CA,94104,17.4 million,53,119,Advertising & Marketing,17408000
2017,4448,3Pillar Global,3pillarglobal.com,1/1/06,3975 Fair Ridge Drive Suite 200 South,Fairfax,VA,22033,40.7 million,56,727,Software,40678413
2017,2001,Universal Plant Services,universalplant.com,1/1/86,806 Seaco Court ,Deer Park,TX,77536,460.5 million,188,1830,Energy,460524531
2017,989,Zelis Healthcare,zelis.com,1/1/85,2 Crossroads Drive ,Bedminster,NJ,07921,253.4 million,436,600,Insurance,253361798
2017,1293,MedSource,medsource.com,1/1/97,16902 El Camino Real 16902,Houston,TX,77058,28.6 million,317,125,Health,28584551
2017,4326,Intermarkets,intermarkets.net,1/1/97,11911 Freedom Dr Suite 1140,Reston,VA,20190,33.9 million,60,47,Advertising & Marketing,33924000
2017,3356,MULTI-BANK SERVICES,mbssecurities.com,1/1/85,1000 Town Center Drive Suite 2300,Southfield,MI,48075,75.5 million,95,151,Financial Services,75509485
2017,4099,Billtrust,billtrust.com,1/1/01,"100 American Metro Boulevard, Suite 150 ",Hamilton,NJ,08619,102.6 million,67,380,Financial Services,102632364
2017,2920,LabConnect,labconnectllc.com/home.aspx,1/1/02,"605 1st Ave., Ste. 300 ",Seattle,WA,98104,28.4 million,116,140,Health,28433039
2017,3550,Groupware Technology,groupwaretech.com,1/1/92,541 Division St. ,Campbell,CA,95008,268.5 million,87,150,IT Services,268484256
2017,1957,ORI,oriresults.com,1/1/88,171 Elden Street Suite 160,Herndon,VA,20170,22.5 million,194,421,Business Products & Services,22514091
2017,1832,22nd Century Technologies,tscti.com,1/1/97,1 Executive Drive Suite 285,Somerset,NJ,08873,81.8 million,211,1000,Government Services,81833279
