Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue
Novartis,175.649,51.902,12.633,145.646,60,Health Care,Pharmaceuticals,Europe,Switzerland,Switzerland,,Vasant Narasimhan,http://www.forbes.com/companies/novartis/,0.0867377064938275,0.24340102500867
Postal Savings Bank Of China (PSBC),48.751,61.032,8.002,1386.051,60,Financials,Major Banks,Asia,China,China,,Jiajin Lyu,http://www.forbes.com/companies/postal-savings-bank-of-china/,0.00577323633834542,0.131111548040372
Facebook,512.005,55.838,22.112,97.334,63,Information Technology,Computer Services,North America,United States,California,California,Mark Zuckerberg,http://www.forbes.com/companies/facebook/,0.227176526188177,0.396002722160536
Siemens,96.998,98.316,5.465,164.165,64,Industrials,Conglomerates,Europe,Germany,Germany,,Joe Kaeser,http://www.forbes.com/companies/siemens/,0.0332896780677976,0.0555860694088449
Shanghai Pudong Development,52.138,50.023,8.45,916.091,65,Financials,Major Banks,Asia,China,China,,Guo Gao,http://www.forbes.com/companies/shanghai-pudong-development/,0.00922397447415158,0.168922295743958
Japan Post Holdings,44.521,115.601,4.324,2619.65,66,Financials,Life & Health Insurance,Asia,Japan,Japan,,Masatsugu Nagato,http://www.forbes.com/companies/japan-post-holdings/,0.00165060217968049,0.0374045207221391
Sumitomo Mitsui Financial,50.867,52.466,6.557,1841.136,67,Financials,Major Banks,Asia,Japan,Japan,,Takeshi Kunibe,http://www.forbes.com/companies/sumitomo-mitsui-financial/,0.00356138818642403,0.124976175046697
Banco Bradesco,70.702,62.628,5.22,332.14,68,Financials,Regional Banks,South America,Brazil,Brazil,,Octávio Lazari,http://www.forbes.com/companies/banco-bradesco/,0.0157162642259288,0.083349300632305
Anheuser-Busch InBev,175.653,54.62,4.33,233.841,69,Consumer Staples,Beverages,Europe,Belgium,Belgium,,Carlos de Brito,http://www.forbes.com/companies/anheuser-busch-inbev/,0.0185168554701699,0.079274990845844
Walt Disney,238.095,59.402,10.963,99.941,70,Consumer Discretionary,Broadcasting & Cable,North America,United States,California,California,Robert A. Iger,http://www.forbes.com/companies/walt-disney/,0.109694719884732,0.184556075553012
Reliance Industries,126.409,79.687,5.649,124.554,71,Energy,Oil & Gas Operations,Asia,India,India,,Mukesh Ambani,http://www.forbes.com/companies/reliance-industries/,0.0453538224384604,0.0708898565638059
CITIC,43.607,68.042,6.41,978.461,72,Materials,Iron & Steel,Asia,Hong Kong,Hong Kong,,Zhen Chang,http://www.forbes.com/companies/citic/,0.00655110423409824,0.0942065195026601
Sony,60.146,76.865,7.348,190.695,73,Consumer Discretionary,Consumer Electronics,Asia,Japan,Japan,,Kenichiro Yoshida,http://www.forbes.com/companies/sony/,0.0385327355200713,0.0955961751122097
Cisco Systems,248.275,50.822,12.865,102.462,74,Information Technology,Communications Equipment,North America,United States,California,California,Chuck Robbins,http://www.forbes.com/companies/cisco-systems/,0.125558743729383,0.253138404627917
Tencent Holdings,472.062,47.228,11.949,105.382,74,Information Technology,Computer Services,Asia,China,China,,Hua Ma,http://www.forbes.com/companies/tencent-holdings/,0.113387485528838,0.253006690946049
Honda Motor,50.545,142.646,6.62,180.934,76,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Takahiro Hachigo,http://www.forbes.com/companies/honda-motor/,0.0365879270894359,0.0464085918988265
Enel,63.137,86.28,5.65,189.104,77,Utilities,Electric Utilities,Europe,Italy,Italy,,Francesco Starace,http://www.forbes.com/companies/enel/,0.0298777392334377,0.0654844691701437
United Technologies,118.14,66.485,5.269,134.211,78,Industrials,Conglomerates,North America,United States,Connecticut,Connecticut,Marillyn A. Hewson,http://www.forbes.com/companies/united-technologies/,0.0392590771248258,0.0792509588629014
Commonwealth Bank,92.822,31.396,6.736,690.223,79,Financials,Major Banks,Australia,Australia,Australia,,Matthew Comyn,http://www.forbes.com/companies/commonwealth-bank/,0.00975916479166878,0.214549624155943
China State Construction Engineering,41.005,178.801,5.779,271.367,80,Industrials,Construction Services,Asia,China,China,,Xiang Wang,http://www.forbes.com/companies/china-state-construction-engineering/,0.0212958834346107,0.0323208483174032
DowDuPont,87.606,85.977,3.827,188.03,81,Materials,Diversified Chemicals,North America,United States,Michigan,Michigan,Edward D. Breen,http://www.forbes.com/companies/dowdupont/,0.0203531351380099,0.0445119043465113
Equinor,77.551,77.862,7.619,112.508,82,Energy,Oil & Gas Operations,Europe,Norway,Norway,,Eldar Sætre,http://www.forbes.com/companies/equinor/,0.0677196288263946,0.0978526110297706
American Express,95.34,43.282,6.867,188.602,83,Financials,Consumer Financial Services,North America,United States,New York,New York,Stephen Squeri,http://www.forbes.com/companies/american-express/,0.0364100062565614,0.158657178503766
MetLife,43.384,66.855,5.123,692.53,84,Financials,Diversified Insurance,North America,United States,New York,New York,Steven A. Kandarian,http://www.forbes.com/companies/metlife/,0.00739751346512064,0.0766285244185177
AXA Group,63.602,139.662,2.216,1034.487,85,Financials,Diversified Insurance,Europe,France,France,,Thomas Buberl,http://www.forbes.com/companies/axa-group/,0.00214212455062268,0.0158668786069224
PepsiCo,178.157,64.983,12.585,75.466,86,Consumer Staples,Beverages,North America,United States,New York,New York,Ramon Laguarta,http://www.forbes.com/companies/pepsico/,0.166763840669971,0.193666035732422
Bank of Nova Scotia,67.077,32.366,6.447,787.545,87,Financials,Major Banks,North America,Canada,Canada,,Brian Porter,http://www.forbes.com/companies/bank-of-nova-scotia/,0.0081861988838733,0.199190508558364
Roche Holding,222.048,58.085,10.729,79.648,88,Health Care,Pharmaceuticals,Europe,Switzerland,Switzerland,,Severin Schwan,http://www.forbes.com/companies/roche-holding/,0.134705202892728,0.184712059912198
ING Group,52.699,39.362,5.548,1014.008,89,Financials,Major Banks,Europe,Netherlands,Netherlands,,Ralph Hamers,http://www.forbes.com/companies/ing-group/,0.00547135722795086,0.140948122554748
Lloyds Banking Group,60.895,35.242,5.3,1015.821,90,Financials,Major Banks,Europe,United Kingdom,United Kingdom,,António Horta-Osório,http://www.forbes.com/companies/lloyds-banking-group/,0.00521745464998262,0.150388740707111
Eni,62.483,89.437,4.986,139.529,91,Energy,Oil & Gas Operations,Europe,Italy,Italy,,Claudio Descalzi,http://www.forbes.com/companies/eni/,0.0357345068050369,0.055748739336069
Oracle,186.33,39.62,10.751,109.438,92,Information Technology,Software & Programming,North America,United States,California,California,Mark Hurd,http://www.forbes.com/companies/oracle/,0.0982382718982437,0.271352852094902
China Citic Bank,42.941,45.582,6.782,883.626,93,Financials,Regional Banks,Asia,China,China,,Qing Guan,http://www.forbes.com/companies/china-citic-bank/,0.00767519289835292,0.148786801807731
China Evergrande Group,42.495,71.698,5.797,273.829,94,Financials,Real Estate,Asia,China,China,,Hai Xia,http://www.forbes.com/companies/china-evergrande-group/,0.0211701463322,0.0808530223995091
UBS,48.964,42.904,4.84,958.489,95,Financials,Major Banks,Europe,Switzerland,Switzerland,,Sergio Ermotti,http://www.forbes.com/companies/ubs/,0.00504961454956708,0.112809994406116
AIRBUS,104.873,75.158,3.603,131.689,96,Industrials,Aerospace & Defense,Europe,Netherlands,Netherlands,,Guillaume Faury,http://www.forbes.com/companies/airbus/,0.0273599161661187,0.0479390084887836
LukOil,61.103,127.914,9.856,82.632,97,Energy,Oil & Gas Operations,Asia,Russia,Russia,,Vagit Alekperov,http://www.forbes.com/companies/lukoil/,0.119275825346113,0.0770517691574026
Prudential Financial,42.397,61.266,4.024,815.078,98,Financials,Life & Health Insurance,North America,United States,New Jersey,New Jersey,John Strangfeld,http://www.forbes.com/companies/prudential-financial/,0.00493695081943078,0.065680801749747
BASF,76.584,76.235,5.553,103.775,99,Materials,Diversified Chemicals,Europe,Germany,Germany,,Martin Brudermüller,http://www.forbes.com/companies/basf/,0.0535099975909419,0.0728405587984522
SAIC Motor,51.474,135.217,5.442,114.012,100,Consumer Discretionary,Auto & Truck Manufacturers,Asia,China,China,,Baiping Bian,http://www.forbes.com/companies/saic-motor/,0.0477318177033996,0.0402464187195397
Westpac Banking Group,66.036,29.08,6.148,636.908,101,Financials,Major Banks,Australia,Australia,Australia,,Brian Hartzer,http://www.forbes.com/companies/westpac-banking/,0.00965288550308679,0.211416781292985
British American Tobacco,90.924,32.658,8.043,186.381,102,Consumer Staples,Tobacco,Europe,United Kingdom,United Kingdom,,Nicandro Durante,http://www.forbes.com/companies/british-american-tobacco/,0.0431535403286816,0.246279625206687
US Bancorp,81.885,25.703,7.098,475.775,103,Financials,Major Banks,North America,United States,Minnesota,Minnesota,Andrew Cecere,http://www.forbes.com/companies/us-bancorp/,0.0149188166675424,0.276154534490137
Credit Agricole,38.353,52.245,4.668,1856.926,104,Financials,Regional Banks,Europe,France,France,,Dominique Lefebvre,http://www.forbes.com/companies/credit-agricole/,0.00251383199976736,0.0893482629916739
China Life Insurance,114.154,98.335,1.862,474.776,105,Financials,Life & Health Insurance,Asia,China,China,,Heng Su,http://www.forbes.com/companies/china-life-insurance/,0.00392184946164086,0.0189352722835206
Unilever,153.638,60.146,11.077,67.967,106,Consumer Staples,Household/Personal Care,Europe,Netherlands,Netherlands,,Alan Jope,http://www.forbes.com/companies/unilever/,0.162976150190534,0.184168523260067
Glencore International,60.455,219.782,3.343,128.672,107,Materials,Diversified Metals & Mining,Europe,Switzerland,Switzerland,,Ivan Glasenberg,http://www.forbes.com/companies/glencore-international/,0.0259807883611042,0.015210526794733
Mitsubishi,42.463,127.412,5.308,153.189,108,Industrials,Trading Companies,Asia,Japan,Japan,,Takehiko Kakiuchi,http://www.forbes.com/companies/mitsubishi/,0.0346500075070664,0.0416601262047531
BHP Group,138.278,42.556,6.03,102.414,109,Materials,Diversified Metals & Mining,Australia,Australia,Australia,,Andrew Mackenzie,http://www.forbes.com/companies/bhp-group/,0.058878668931982,0.141695648087226
Ford Motor,38.101,160.338,3.677,256.54,110,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,Michigan,Michigan,Jim Hackett,http://www.forbes.com/companies/ford-motor/,0.0143330474779761,0.0229328044505981
Rio Tinto,99.964,40.533,13.782,90.949,111,Materials,Diversified Metals & Mining,Europe,United Kingdom,United Kingdom,,Jean-Sébastien Jacques,http://www.forbes.com/companies/rio-tinto/,0.151535475926068,0.340019243579306
Prudential,60.2,33.285,4.014,633.617,112,Financials,Life & Health Insurance,Europe,United Kingdom,United Kingdom,,Mike Wells,http://www.forbes.com/companies/prudential/,0.00633505729802073,0.120594862550699
AIA Group,122.238,39.479,3.163,226.919,113,Financials,Life & Health Insurance,Asia,Hong Kong,Hong Kong,,John Cai,http://www.forbes.com/companies/aia-group/,0.0139388944953926,0.0801185440360698
China Minsheng Banking,33.875,46.698,7.676,873.155,114,Financials,Regional Banks,Asia,China,China,,Qi Hong,http://www.forbes.com/companies/china-minsheng-banking/,0.00879110810795334,0.164375347980642
Sanofi,102.042,40.658,5.095,127.356,114,Health Care,Pharmaceuticals,Europe,France,France,,Olivier MD,http://www.forbes.com/companies/sanofi/,0.0400059675241057,0.125313591421123
Deutsche Telekom,79.386,89.255,2.557,176.488,116,Telecommunication Services,Telecommunications services,Europe,Germany,Germany,,Timotheus Höttges,http://www.forbes.com/companies/deutsche-telekom/,0.0144882371606002,0.0286482549997199
Zurich Insurance Group,47.686,46.938,3.717,374.145,117,Financials,Diversified Insurance,Europe,Switzerland,Switzerland,,Mario Greco,http://www.forbes.com/companies/zurich-insurance-group/,0.00993465100428978,0.0791895692189697
Brookfield Asset Management,45.982,57.574,3.598,256.281,118,Financials,Real Estate,North America,Canada,Canada,,Bruce Flatt,http://www.forbes.com/companies/brookfield-asset-management/,0.0140392771996363,0.0624934866432765
Merck & Co.,189.055,42.264,6.22,82.637,119,Health Care,Pharmaceuticals,North America,United States,Missouri,Missouri,Kenneth Frazier,http://www.forbes.com/companies/merck-co/,0.075268947323838,0.147170168464887
ANZ,53.963,27.544,4.863,682.036,120,Financials,Major Banks,Australia,Australia,Australia,,Shayne Elliott,http://www.forbes.com/companies/anz/,0.00713012216363946,0.176553877432472
Caterpillar,82.51,54.722,6.147,78.509,121,Industrials,Heavy Equipment,North America,United States,Illinois,Illinois,Jim Umpleby,http://www.forbes.com/companies/caterpillar/,0.0782967557859608,0.112331420635211
Saudi Basic Industries,99.999,45.056,5.744,85.337,122,Materials,Diversified Chemicals,Asia,Saudi Arabia,Saudi Arabia,,Yousef Al-Benyan,http://www.forbes.com/companies/saudi-basic-industries/,0.0673096077902903,0.127485795454545
Hon Hai Precision,41.172,175.556,4.28,110.009,123,Information Technology,Electronics,Asia,Taiwan,Taiwan,,Terry Gou,http://www.forbes.com/companies/hon-hai-precision/,0.038905907698461,0.0243796851147212
China Vanke,46.533,41.058,5.005,222.64,124,Financials,Real Estate,Asia,China,China,,Jiu Zhu,http://www.forbes.com/companies/china-vanke/,0.0224802371541502,0.121900725802523
Mizuho Financial,39.799,33.069,4.625,1837.801,125,Financials,Major Banks,Asia,Japan,Japan,,Koji Fujiwara,http://www.forbes.com/companies/mizuho-financial/,0.0025165945605645,0.139859082524419
CNOOC,83.886,33.878,7.966,98.865,126,Energy,Oil & Gas Operations,Asia,Hong Kong,Hong Kong,,Guang Yuan,http://www.forbes.com/companies/cnooc/,0.0805745208112072,0.235137847570695
Home Depot,226.79,108.203,11.121,44.003,126,Consumer Discretionary,Home Improvement Retail,North America,United States,Georgia,Georgia,Craig Menear,http://www.forbes.com/companies/home-depot/,0.252732768220349,0.102779035701413
Taiwan Semiconductor,222.396,34.203,11.644,68,126,Information Technology,Semiconductors,Asia,Taiwan,Taiwan,,Che Wei,http://www.forbes.com/companies/taiwan-semiconductor/,0.171235294117647,0.340437973277198
Country Garden Holdings,35.243,56.734,5.191,237.367,129,Financials,Real Estate,Asia,China,China,,Tzar Li,http://www.forbes.com/companies/country-garden-holdings/,0.0218690887949884,0.0914971621955089
Capital One Financial,41.225,32.658,5.975,372.538,130,Financials,Consumer Financial Services,North America,United States,Virginia,Virginia,Richard D. Fairbank,http://www.forbes.com/companies/capital-one-financial/,0.0160386323005975,0.182956702798702
Intesa Sanpaolo,45.877,28.13,4.778,900.483,130,Financials,Regional Banks,Europe,Italy,Italy,,Carlo Messina,http://www.forbes.com/companies/intesa-sanpaolo/,0.00530604131338404,0.169854248133665
Nissan Motor,33.599,108.668,4.395,172.845,132,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Hiroto Saikawa,http://www.forbes.com/companies/nissan-motor/,0.0254274060574503,0.0404442890271285
Coca-Cola,202.985,31.697,6.434,83.216,133,Consumer Staples,Beverages,North America,United States,Georgia,Georgia,James Quincey,http://www.forbes.com/companies/coca-cola/,0.0773168621418958,0.202984509575039
Bank of Montreal,50.371,26.233,4.593,614.176,134,Financials,Major Banks,North America,Canada,Canada,,Darryl White,http://www.forbes.com/companies/bank-of-montreal/,0.00747831240556453,0.175084816833759
BBVA-Banco Bilbao Vizcaya,41.641,28.305,5.535,773.557,135,Financials,Regional Banks,Europe,Spain,Spain,,Cristina De Parias,http://www.forbes.com/companies/bbva-banco-bilbao-vizcaya/,0.00715525811284753,0.195548489666137
Walgreens Boots Alliance,49.948,136.097,5.134,70.434,136,Consumer Staples,Drug Retail,North America,United States,Illinois,Illinois,Stefano Pessina,http://www.forbes.com/companies/walgreens-boots-alliance/,0.0728909333560496,0.0377230945575582
Chubb,63.539,32.635,3.962,167.771,137,Financials,Property & Casualty Insurance,Europe,Switzerland,Switzerland,,Evan Greenberg,http://www.forbes.com/companies/chubb/,0.0236155235410172,0.12140340125632
NAB - National Australia Bank,50.665,25.341,4.221,583.766,138,Financials,Major Banks,Australia,Australia,Australia,,Philip Chronican,http://www.forbes.com/companies/national-australia-bank/,0.00723063693329176,0.166568012312063
