Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue
ICBC,305.057,175.874,45.223,4034.482,1,Financials,Major Banks,Asia,China,China,,Shu Gu,http://www.forbes.com/companies/icbc/,0.0112091217658178,0.257132947451016
JPMorgan Chase,368.502,132.912,32.738,2737.188,2,Financials,Major Banks,North America,United States,New York,New York,Jamie Dimon,http://www.forbes.com/companies/jpmorgan-chase/,0.0119604499215984,0.24631335018659
China Construction Bank,224.988,150.313,38.841,3382.422,3,Financials,Major Banks,Asia,China,China,,Wang Zuji,http://www.forbes.com/companies/china-construction-bank/,0.0114831916301396,0.25840080365637
Agricultural Bank of China,197.045,137.456,30.894,3293.105,4,Financials,Regional Banks,Asia,China,China,,Huan Zhao,http://www.forbes.com/companies/agricultural-bank-of-china/,0.00938141966320539,0.224755558142242
Bank of America,287.339,111.904,28.54,2377.164,5,Financials,Major Banks,North America,United States,North Carolina,North Carolina,Brian Moynihan,http://www.forbes.com/companies/bank-of-america/,0.0120059028321142,0.255040034315127
Apple,961.257,261.705,59.431,373.719,6,Information Technology,Computer Hardware,North America,United States,California,California,Tim Cook,http://www.forbes.com/companies/apple/,0.159025899138122,0.227091572572171
Ping An Insurance Group,220.197,151.788,16.3,1038.3,7,Financials,Diversified Insurance,Asia,China,China,,Ma Mingzhe,http://www.forbes.com/companies/ping-an-insurance/,0.0156987383222575,0.107386618177985
Bank of China,142.958,126.677,27.5,3097.612,8,Financials,Major Banks,Asia,China,China,,Chen Siqing,http://www.forbes.com/companies/bank-of-china/,0.00887780651676194,0.217087553383803
Royal Dutch Shell,264.939,382.626,23.329,399.194,9,Energy,Oil & Gas Operations,Europe,Netherlands,Netherlands,,Bernardus Margriet van Beurden,http://www.forbes.com/companies/royal-dutch-shell/,0.058440257118093,0.0609707651858473
Wells Fargo,214.676,101.456,23.117,1887.792,10,Financials,Major Banks,North America,United States,California,California,Timothy Sloan,http://www.forbes.com/companies/wells-fargo/,0.0122455228118352,0.227852468064974
ExxonMobil,343.431,279.209,20.84,346.196,11,Energy,Oil & Gas Operations,North America,United States,Texas,Texas,Darren W. Woods,http://www.forbes.com/companies/exxon-mobil/,0.0601971137737004,0.0746394278121407
AT&T,233.325,170.805,19.37,531.864,12,Telecommunication Services,Telecommunications services,North America,United States,Texas,Texas,Randall L. Stephenson,http://www.forbes.com/companies/att/,0.0364190845780124,0.113404174350868
Samsung Electronics,272.424,221.506,39.882,304.138,13,Information Technology,Semiconductors,Asia,South Korea,South Korea,,Hyun-Suk Kim,http://www.forbes.com/companies/samsung-electronics/,0.131131262782027,0.180049298890324
Citigroup,161.112,99.974,17.928,1958.413,14,Financials,Major Banks,North America,United States,New York,New York,Michael L. Corbat,http://www.forbes.com/companies/citigroup/,0.0091543509974658,0.17932662492248
Toyota Motor,176.602,272.144,17.241,465.625,15,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Takeshi Uchiyamada,http://www.forbes.com/companies/toyota-motor/,0.0370276510067114,0.0633524898583103
Microsoft,946.521,118.224,33.541,258.859,16,Information Technology,Software & Programming,North America,United States,Washington,Washington,Satya Nadella,http://www.forbes.com/companies/microsoft/,0.129572469954686,0.283707199891731
Alphabet,863.178,136.958,30.736,232.792,17,Information Technology,Computer Services,North America,United States,California,California,Lawrence Page,http://www.forbes.com/companies/alphabet/,0.132032028592048,0.224419164999489
Volkswagen Group,91.951,278.243,13.955,553.506,18,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,Germany,,Herbert Diess,http://www.forbes.com/companies/volkswagen-group/,0.0252120121552431,0.0501540020773209
Chevron,228.323,158.741,14.824,253.863,19,Energy,Oil & Gas Operations,North America,United States,California,California,Michael K. Wirth,http://www.forbes.com/companies/chevron/,0.0583937005392672,0.0933848218166699
Verizon Communications,239.705,130.863,15.528,264.829,20,Telecommunication Services,Telecommunications services,North America,United States,New Jersey,New Jersey,Hans Vestberg,http://www.forbes.com/companies/verizon-communications/,0.058634061979617,0.118658444327274
HSBC Holdings,175.46,64.294,13.664,2558.124,21,Financials,Major Banks,Europe,United Kingdom,United Kingdom,,John Flint,http://www.forbes.com/companies/hsbc-holdings/,0.00534141425513384,0.212523719165085
PetroChina,198.651,322.842,7.991,354.306,22,Energy,Oil & Gas Operations,Asia,China,China,,Yi Wang,http://www.forbes.com/companies/petrochina/,0.0225539505399288,0.024752045892418
Allianz,102.303,118.843,8.803,1060.217,23,Financials,Diversified Insurance,Europe,Germany,Germany,,Oliver Bäte,http://www.forbes.com/companies/allianz/,0.00830301721251404,0.0740725158402262
BP,149.548,299.065,9.332,282.176,24,Energy,Oil & Gas Operations,Europe,United Kingdom,United Kingdom,,Robert Dudley,http://www.forbes.com/companies/bp/,0.0330715581764573,0.0312039188805109
Total,149.486,184.202,11.401,256.762,25,Energy,Oil & Gas Operations,Europe,France,France,,Patrick Pouyanné,http://www.forbes.com/companies/total/,0.0444029879810875,0.0618940076654977
Berkshire Hathaway,516.407,247.837,4.021,707.794,26,Financials,Investment Services,North America,United States,Nebraska,Nebraska,Warren Buffett,http://www.forbes.com/companies/berkshire-hathaway/,0.00568103148656247,0.0162243732775978
China Mobile,197.572,111.804,17.906,223.708,27,Telecommunication Services,Telecommunications services,Asia,Hong Kong,Hong Kong,,Yue Li,http://www.forbes.com/companies/china-mobile/,0.0800418402560481,0.16015527172552
Amazon,916.05,232.887,10.073,162.648,28,Consumer Discretionary,Internet & Catalog Retail,North America,United States,Washington,Washington,Jeffrey P. Bezos,http://www.forbes.com/companies/amazon/,0.0619312871968914,0.0432527363055903
Walmart,296.094,514.405,6.67,219.295,29,Consumer Discretionary,Discount Stores,North America,United States,Arkansas,Arkansas,Doug McMillon,http://www.forbes.com/companies/walmart/,0.0304156501516222,0.0129664369514293
Santander,84.077,89.455,9.214,1668.166,30,Financials,Major Banks,Europe,Spain,Spain,,José Antonio Álvarez,http://www.forbes.com/companies/santander/,0.00552343112136322,0.103001509138673
China Merchants Bank,130.355,54.867,12.259,982.526,31,Financials,Regional Banks,Asia,China,China,,Huiyu Tian,http://www.forbes.com/companies/china-merchants-bank/,0.0124770235087926,0.223431206371772
UnitedHealth Group,212.778,231.367,12.617,161.197,32,Health Care,Managed Health Care,North America,United States,Minnesota,Minnesota,David S. Wichmann,http://www.forbes.com/companies/unitedhealth-group/,0.0782706874197411,0.0545324095484663
Comcast,192.037,94.507,11.731,251.684,33,Consumer Discretionary,Broadcasting & Cable,North America,United States,Pennsylvania,Pennsylvania,Brian Roberts,http://www.forbes.com/companies/comcast/,0.0466100348055498,0.124128371443385
BNP Paribas,68.712,101.602,8.446,2332.982,34,Financials,Major Banks,Europe,France,France,,Jean-Laurent Bonnafé,http://www.forbes.com/companies/bnp-paribas/,0.00362025939334294,0.083128284876282
Sinopec,105.633,399.679,9.534,233.003,35,Energy,Oil & Gas Operations,Asia,China,China,,Dong Zhao,http://www.forbes.com/companies/sinopec/,0.0409179280953464,0.0238541429497172
Softbank,112.4,86.162,13.863,332.311,36,Telecommunication Services,Telecommunications services,Asia,Japan,Japan,,Masayoshi Son,http://www.forbes.com/companies/softbank/,0.0417169458729925,0.160894593904505
Daimler,71.342,197.445,8.552,321.933,37,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,Germany,,Dieter Zetsche,http://www.forbes.com/companies/daimler/,0.0265645336141371,0.0433133277621616
Johnson & Johnson,366.184,81.575,14.679,152.954,37,Health Care,Medical Equipment & Supplies,North America,United States,New Jersey,New Jersey,Alex Gorsky,http://www.forbes.com/companies/johnson-johnson/,0.0959700302051597,0.179944836040454
Bank of Communications,63.612,64.752,11.191,1388.23,39,Financials,Major Banks,Asia,China,China,,Peng Chun,http://www.forbes.com/companies/bank-of-communications/,0.00806134430173674,0.172828638497653
Gazprom,59.861,128.43,18.916,305.935,40,Energy,Oil & Gas Operations,Asia,Russia,Russia,,Alexei Miller,http://www.forbes.com/companies/gazprom/,0.0618301273146257,0.147286459549949
RBC,114.929,46.276,9.642,1040.286,41,Financials,Major Banks,North America,Canada,Canada,,Dave McKay,http://www.forbes.com/companies/rbc/,0.0092686049797844,0.208358544385859
Nestle,281.294,93.433,10.356,138.989,42,Consumer Staples,Food Processing,Europe,Switzerland,Switzerland,,Ulf Schneider,http://www.forbes.com/companies/nestle/,0.0745094935570441,0.110838782871148
Mitsubishi UFJ Financial,65.008,53.664,9.041,2799.935,43,Financials,Major Banks,Asia,Japan,Japan,,Nobuyuki Hirano,http://www.forbes.com/companies/mitsubishi-ufj-financial/,0.0032290035304391,0.168474209898629
Intel,263.127,70.848,21.053,127.963,44,Information Technology,Semiconductors,North America,United States,California,California,Robert Swan,http://www.forbes.com/companies/intel/,0.164524120253511,0.297157294489612
Goldman Sachs Group,75.52,51.009,9.878,925,45,Financials,Investment Services,North America,United States,New York,New York,David Solomon,http://www.forbes.com/companies/goldman-sachs-group/,0.0106789189189189,0.193652100609696
TD Bank Group,103.836,42.544,8.683,1007.01,46,Financials,Major Banks,North America,Canada,Canada,,Bharat Masrani,http://www.forbes.com/companies/td-bank-group/,0.00862255588325836,0.204094584430237
Sberbank,78.539,51.607,13.258,449.71,47,Financials,Regional Banks,Asia,Russia,Russia,,Herman Gref,http://www.forbes.com/companies/sberbank/,0.0294812212314603,0.256903133295871
Morgan Stanley,80.169,50.87,8.509,875.964,48,Financials,Investment Services,North America,United States,New York,New York,James Patrick Gorman,http://www.forbes.com/companies/morgan-stanley/,0.00971386951975195,0.167269510517004
Boeing,214.543,101.127,10.453,117.359,49,Industrials,Aerospace & Defense,North America,United States,Illinois,Illinois,Dennis A. Muilenburg,http://www.forbes.com/companies/boeing/,0.0890685844289743,0.10336507559801
Petrobras,91.193,95.681,7.051,222.015,50,Energy,Oil & Gas Operations,South America,Brazil,Brazil,,Roberto Castello Branco,http://www.forbes.com/companies/petrobras/,0.0317591153750873,0.0736927916723278
Nippon Telegraph & Tel,80.173,107.501,8.74,199.607,51,Telecommunication Services,Telecommunications services,Asia,Japan,Japan,,Jun Sawada,http://www.forbes.com/companies/nippon-tel-tel/,0.0437860395677506,0.0813015692877276
Rosneft,72.161,112.937,8.739,191.272,52,Energy,Oil & Gas Operations,Asia,Russia,Russia,,Igor Sechin,http://www.forbes.com/companies/rosneft/,0.0456888619348363,0.077379423926614
Procter & Gamble,265.293,66.912,10.795,123.687,53,Consumer Staples,Household/Personal Care,North America,United States,Ohio,Ohio,David S. Taylor,http://www.forbes.com/companies/procter-gamble/,0.0872767550348865,0.161331300813008
Pfizer,218.63,53.646,11.152,159.422,54,Health Care,Pharmaceuticals,North America,United States,New York,New York,Ian C. Read,http://www.forbes.com/companies/pfizer/,0.0699527041437192,0.20788129590277
Industrial Bank,62.369,49.736,9.274,950.968,55,Financials,Major Banks,Asia,China,China,,Yiping Tao,http://www.forbes.com/companies/industrial-bank/,0.00975216831691497,0.186464532732829
General Motors,56.802,147.049,8.084,227.339,56,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,Michigan,Michigan,Mary T. Barra,http://www.forbes.com/companies/general-motors/,0.0355592309282613,0.0549748723214711
BMW Group,57.486,115.002,8.396,238.895,57,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,Germany,,Harald Krüger,http://www.forbes.com/companies/bmw-group/,0.0351451474497164,0.0730074259578094
Itaú Unibanco Holding,80.779,53.781,6.751,383.203,58,Financials,Regional Banks,South America,Brazil,Brazil,,Candido Bracher,http://www.forbes.com/companies/itau-unibanco-holding/,0.0176172942278636,0.125527602684963
Alibaba,480.797,51.892,10.273,133.726,59,Consumer Discretionary,Internet & Catalog Retail,Asia,China,China,,Yong Zhang,http://www.forbes.com/companies/alibaba/,0.0768212613852205,0.197968858398212
IBM,124.875,78.701,8.637,130.926,60,Information Technology,Computer Services,North America,United States,New York,New York,Virginia M. Rometty,http://www.forbes.com/companies/ibm/,0.0659685623940241,0.109744475927879
