Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue
BASF,95.299,75.1,7.0678,98.947,82,Materials,Diversified Chemicals,Europe,Germany,Germany,,Martin Brudermüller,http://www.forbes.com/companies/basf/,0.0714301595803814,0.0941118508655127
Reliance Industries,93.066,60.757,5.596,125.165,83,Energy,Oil & Gas Operations,Asia,India,India,,Mukesh Ambani,http://www.forbes.com/companies/reliance-industries/,0.044708984140934,0.0921046134601774
China State Construction Engineering,40.392,162.275,5.1306,257.557,84,Industrials,Construction Services,Asia,China,China,,Xiang Wang,http://www.forbes.com/companies/china-state-construction-engineering/,0.01992025066296,0.0316167000462178
China Citic Bank,46.54,43.648,6.545,893.992,85,Financials,Regional Banks,Asia,China,China,,Qing Guan,http://www.forbes.com/companies/china-citic-bank/,0.0073210945959248,0.149949596774194
Sony,59.896,77.089,4.4283,179.272,86,Consumer Discretionary,Consumer Electronics,Asia,Japan,Japan,,Kenichiro Yoshida,http://www.forbes.com/companies/sony/,0.0247015707974475,0.057443993306438
Westpac Banking Group,76.241,29.353,6.3989,668.765,87,Financials,Major Banks,Australia,Australia,Australia,,Brian Hartzer,http://www.forbes.com/companies/westpac-banking/,0.00956823398353682,0.217998160324328
Bank of Nova Scotia,74.979,28.83,6.4541,752.457,88,Financials,Major Banks,North America,Canada,Canada,,Brian Porter,http://www.forbes.com/companies/bank-of-nova-scotia/,0.0085773672116812,0.223867499132848
British American Tobacco,119.987,26.132,48.3358,190.789,88,Consumer Staples,Tobacco,Europe,United Kingdom,United Kingdom,,Nicandro Durante,http://www.forbes.com/companies/british-american-tobacco/,0.253346891068143,1.84967855502832
China Minsheng Banking,43.524,42.743,7.354,954.04,90,Financials,Regional Banks,Asia,China,China,,Qi Hong,http://www.forbes.com/companies/china-minsheng-banking/,0.00770827218984529,0.172051563998783
Equinor,90.211,65.145,4.861,115.449,91,Energy,Oil & Gas Operations,Europe,Norway,Norway,,Eldar Sætre,http://www.forbes.com/companies/equinor/,0.0421051719807014,0.0746181594903676
AIA Group,111.406,31.917,6.1205,213.21,92,Financials,Life & Health Insurance,Asia,Hong Kong,Hong Kong,,Ng Keng Hooi,http://www.forbes.com/companies/aia-group/,0.0287064396604287,0.191763010307986
Roche Holding,189.692,54.151,8.771,78.682,93,Health Care,Pharmaceuticals,Europe,Switzerland,Switzerland,,Severin Schwan,http://www.forbes.com/companies/roche-holding/,0.111474034722046,0.16197300142195
Lloyds Banking Group,65.391,33.593,4.049,1098.581,94,Financials,Major Banks,Europe,United Kingdom,United Kingdom,,António Horta-Osório,http://www.forbes.com/companies/lloyds-banking-group/,0.00368566359694916,0.120531063019081
